binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss,disk
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,join-ns,0,1,55.29,,,18.086453246518357,0.0,,5772596.0,,,,,17.76,,,,,,,,,,,,,,15.0,358.8,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,join-nsc,0,1,102.49,,,9.757049468240805,0.0,,591607.5,,,,,5.08,,,,,,,,,,,,,,9.0,411.96,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,mixed-n,0,1,12.41,,,80.58017727639,0.0,,93840095.5,,,,,66.16,,,,,,,,,,,,,,28.0,621.25,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,mixed-ns,0,1,60.58,,,16.50709805216243,0.0,,4306327.5,,,,,15.03,,,,,,,,,,,,,,14.0,468.04,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,mixed-nsc,0,1,112.51,,,8.888098835659052,0.0,,601745.5,,,,,5.64,,,,,,,,,,,,,,8.0,531.63,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,distinct-n,0,1,12.22,,,81.8330605564648,0.0,,99536840.0,,,,,68.36,,,,,,,,,,,,,,27.0,128.58,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,distinct-ns,0,1,56.17,,,17.803097739006585,0.0,,4497057.5,,,,,15.05,,,,,,,,,,,,,,15.0,581.96,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,distinct-nsc,0,1,104.5,,,9.569377990430622,0.0,,577989.5,,,,,5.11,,,,,,,,,,,,,,9.0,225.53,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,maintain,0,1,56.0,,,17.857142857142858,0.0,,21935.025,,,,,21911.56,,,,,,,,,,,,,,90.12,0.1246,4.96,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,join-n,0,1,11.69,,,85.5431993156544,1320.18,,89032163.5,,,,,54.59,,,,,,,,,,,,,,41305.26,0.0,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,join-ns,0,1,141.71,,,7.056665020111495,0.0,,3492031.5,,,,,26.02,,,,,,,,,,,,,,5.0,468.69,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,join-nsc,0,1,275.83,,,3.6254214552441724,0.0,,285462.5,,,,,6.03,,,,,,,,,,,,,,3.0,486.55,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,mixed-n,0,1,22.59,,,44.26737494466578,0.0,,63195185.5,,,,,66.61,,,,,,,,,,,,,,15.0,712.53,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,mixed-ns,0,1,144.39,,,6.925687374471917,0.0,,3064534.0,,,,,21.905,,,,,,,,,,,,,,5.0,649.58,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,mixed-nsc,0,1,270.74,,,3.693580556991948,0.0,,383481.0,,,,,7.53,,,,,,,,,,,,,,3.0,507.15,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,distinct-n,0,1,0.6965,,,1435.7501794687723,0.0,,4270267081.5,,,,,97.77,,,,,,,,,,,,,,33.0,580.0,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,distinct-ns,0,1,109.49,,,9.133254178463787,0.0,,9215393.0,,,,,42.11,,,,,,,,,,,,,,5.0,518.41,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,distinct-nsc,0,1,268.55,,,3.7237013591509958,0.0,,286756.0,,,,,6.03,,,,,,,,,,,,,,3.0,579.64,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,maintain,0,1,856.2,,,1.1679514132212099,0.0,,373540.5,,,,,15.98,,,,,,,,,,,,,,1.0,23.56,4.19,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,join-n,0,1,17.65,,,56.657223796033996,477.058,,111514566.0,,,,,75.97,,,,,,,,,,,,,,14454.61,0.0,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,join-ns,0,1,155.91,,,6.413956769931371,0.0,,4236506.5,,,,,32.26,,,,,,,,,,,,,,4.0,563.61,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,join-nsc,0,1,300.47,,,3.3281192797949877,0.0,,363008.5,,,,,8.4,,,,,,,,,,,,,,3.0,126.82,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,mixed-n,0,1,23.23,,,43.04778303917348,0.0,,77942473.0,,,,,73.7,,,,,,,,,,,,,,12.0,46.9,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,mixed-ns,0,1,175.07,,,5.712000913920146,0.0,,3362371.0,,,,,28.35,,,,,,,,,,,,,,4.0,294.34,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,mixed-nsc,0,1,310.67,,,3.218849583158979,0.0,,324409.5,,,,,7.93,,,,,,,,,,,,,,3.0,36.1,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,distinct-n,0,1,21.43,,,46.66355576294914,0.0,,84851674.0,,,,,74.01,,,,,,,,,,,,,,12.0,856.98,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,distinct-ns,0,1,180.23,,,5.548465849192699,0.0,,3284440.5,,,,,29.5,,,,,,,,,,,,,,4.0,103.74,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,distinct-nsc,0,1,305.39,,,3.2745014571531486,0.0,,336493.5,,,,,7.91,,,,,,,,,,,,,,3.0,88.9,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,3,merged_idx,maintain,0,1,79.0,,,12.658227848101266,0.0,,16305.085,,,,,16365.36,,,,,,,,,,,,,,99.73,0.1954,3.31,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,join-n,0,1,9.08,,,110.13215859030836,493.503,,218119668.0,,,,,78.09,,,,,,,,,,,,,,25398.01,0.0,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,join-ns,0,1,58.13,,,17.20282126268708,0.0,,7497847.5,,,,,21.3,,,,,,,,,,,,,,14.0,25.13,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,join-nsc,0,1,110.07,,,9.085127646043427,0.0,,623704.0,,,,,5.76,,,,,,,,,,,,,,8.0,704.05,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,mixed-n,0,1,12.38,,,80.77544426494345,0.0,,161932653.5,,,,,77.93,,,,,,,,,,,,,,18.0,810.58,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,mixed-ns,0,1,56.68,,,17.64290755116443,0.0,,6217399.0,,,,,19.14,,,,,,,,,,,,,,14.0,756.35,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,mixed-nsc,0,1,94.05,,,10.63264221158958,0.0,,685454.5,,,,,5.4,,,,,,,,,,,,,,10.0,228.05,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,distinct-n,0,1,11.55,,,86.58008658008657,0.0,,168868095.0,,,,,80.18,,,,,,,,,,,,,,18.0,102.66,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,distinct-ns,0,1,56.06,,,17.83803068141277,0.0,,6040723.5,,,,,18.314999999999998,,,,,,,,,,,,,,15.0,52.91,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,distinct-nsc,0,1,100.15,,,9.98502246630055,0.0,,643758.5,,,,,5.43,,,,,,,,,,,,,,9.0,600.12,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,4,hash,maintain,0,1,51.0,,,19.607843137254903,0.0,,23885.45,,,,,23575.915,,,,,,,,,,,,,,89.83,0.2645,6.55,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,join-n,0,2,8.31,,,120.33694344163658,493.503,,133536815.5,,,,,65.92,,,,,,,,,,,,,,42848.42,0.0,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,join-ns,0,2,35.75,,,27.972027972027973,0.0,,5585880.0,,,,,12.195,,,,,,,,,,,,,,25.0,105.91,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,join-nsc,0,2,65.02,,,15.379883112888344,0.0,,670613.5,,,,,3.7,,,,,,,,,,,,,,14.0,976.9,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,mixed-n,0,2,10.54,,,94.87666034155599,0.0,,92934274.0,,,,,61.73,,,,,,,,,,,,,,37.0,844.12,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,mixed-ns,0,2,36.89,,,27.107617240444565,0.0,,4943973.0,,,,,11.05,,,,,,,,,,,,,,24.0,647.59,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,mixed-nsc,0,2,66.77,,,14.976785981728321,0.0,,607774.5,,,,,3.465,,,,,,,,,,,,,,14.0,620.79,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,distinct-n,0,2,10.91,,,91.6590284142988,0.0,,97951115.0,,,,,64.84,,,,,,,,,,,,,,33.0,591.68,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,distinct-ns,0,2,40.6,,,24.63054187192118,0.0,,4790184.5,,,,,11.93,,,,,,,,,,,,,,22.0,193.2,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,distinct-nsc,0,2,63.77,,,15.681354869060685,0.0,,633593.5,,,,,3.44,,,,,,,,,,,,,,15.0,315.3,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,1,base_idx,maintain,0,2,51.0,,,19.607843137254903,0.0,,24752.615,,,,,24789.535,,,,,,,,,,,,,,91.07,0.1531,4.96,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,join-n,0,2,12.87,,,77.7000777000777,1320.19,,90589366.0,,,,,58.72,,,,,,,,,,,,,,34632.79,0.0,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,join-ns,0,2,157.34,,,6.355662895640015,0.0,,3421059.0,,,,,27.1,,,,,,,,,,,,,,4.0,871.51,0.0,,,,hdd
geo_lsm,geo,lsm,geo,c2,52,0.1,2,mat_view,join-nsc,0,2,292.72,,,3.416233943700464,0.0,,295935.5,,,,,6.44,,,,,,,,,,,,,,3.0,276.41,0.0,,,,hdd
