binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median,disk
q3_btree,vanilla,btree,q3,c2,1,1,base_merge_join,query,3,0.01243,0.0001299999999999999,,hdd
q3_btree,vanilla,btree,q3,c2,2,1,pipeline_view,query,3,0.01509,0.0003999999999999993,,hdd
q3_btree,vanilla,btree,q3,c2,3,1,mi_col_walk,query,3,0.01542,0.0001999999999999988,,hdd
q3_btree,vanilla,btree,q3,c2,4,1,base_hash_join,query,3,0.007383,0.00010299999999999979,,hdd
q3_lsm,vanilla,lsm,q3,c2,1,0,base_merge_join,query,3,1.03,0.0050000000000001155,,hdd
q3_lsm,vanilla,lsm,q3,c2,2,0,pipeline_view,query,3,1.93,0.040000000000000036,,hdd
q3_lsm,vanilla,lsm,q3,c2,3,0,mi_col_walk,query,3,1.7,0.02499999999999991,,hdd
q3_lsm,vanilla,lsm,q3,c2,4,0,base_hash_join,query,3,0.3055,0.0016499999999999848,,hdd
q3_lsm,vanilla,lsm,q3,c2,1,1,base_merge_join,query,3,0.6822,0.021100000000000008,,hdd
q3_lsm,vanilla,lsm,q3,c2,2,1,pipeline_view,query,3,0.8846,0.018799999999999928,,hdd
q3_lsm,vanilla,lsm,q3,c2,3,1,mi_col_walk,query,3,1.05,0.02499999999999991,,hdd
q3_lsm,vanilla,lsm,q3,c2,4,1,base_hash_join,query,3,0.08917,0.018935000000000007,,hdd
q3i_btree,tpchi,btree,q3i,c2,1,0,base_merge_join,query,3,0.009412,2.2999999999998716e-05,,hdd
q3i_btree,tpchi,btree,q3i,c2,2,0,pipeline_view,query,3,0.01425,0.00010999999999999899,,hdd
q3i_btree,tpchi,btree,q3i,c2,3,0,mi_coli_walk,query,3,0.01306,8.99999999999998e-05,,hdd
q3i_btree,tpchi,btree,q3i,c2,4,0,base_hash_join,query,3,0.003937,0.0002525000000000001,,hdd
q3i_btree,tpchi,btree,q3i,c2,1,1,base_merge_join,query,3,0.009359,7.549999999999918e-05,,hdd
q3i_btree,tpchi,btree,q3i,c2,2,1,pipeline_view,query,3,0.0143,5.4999999999999494e-05,,hdd
q3i_btree,tpchi,btree,q3i,c2,3,1,mi_coli_walk,query,3,0.01326,0.00012000000000000031,,hdd
q3i_btree,tpchi,btree,q3i,c2,4,1,base_hash_join,query,3,0.003957,5.699999999999976e-05,,hdd
q3i_lsm,tpchi,lsm,q3i,c2,1,0,base_merge_join,query,3,0.6806,0.0041999999999999815,,hdd
q3i_lsm,tpchi,lsm,q3i,c2,2,0,pipeline_view,query,3,1.74,0.030000000000000027,,hdd
q3i_lsm,tpchi,lsm,q3i,c2,3,0,mi_coli_walk,query,3,1.25,0.010000000000000009,,hdd
q3i_lsm,tpchi,lsm,q3i,c2,4,0,base_hash_join,query,3,0.1194,0.0012999999999999956,,hdd
q3i_lsm,tpchi,lsm,q3i,c2,1,1,base_merge_join,query,3,0.4242,0.011300000000000032,,hdd
q3i_lsm,tpchi,lsm,q3i,c2,2,1,pipeline_view,query,3,0.8973,0.07200000000000006,,hdd
q3i_lsm,tpchi,lsm,q3i,c2,3,1,mi_coli_walk,query,3,0.675,0.03364999999999996,,hdd
q3i_lsm,tpchi,lsm,q3i,c2,4,1,base_hash_join,query,3,0.03432,0.0031099999999999947,,hdd
q5_btree,vanilla,btree,q5,c2,1,0,base_merge_join,query,3,0.01261,0.00041500000000000044,,hdd
