binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,0,0.01080904864374543,1,,92515.08,3139.61,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,1,0.07762317828103471,2,,12882.750000000002,3893.17,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,1,0.09018515011318237,2,,11088.3,3785.12,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,1,0.09633298846123464,2,,10380.66,3709.15,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,1,0.011047131037975175,1,,90521.24,3139.61,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,2,0.06938922218845281,2,,14411.46,3893.17,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,2,0.08718220994696707,2,,11470.23,3785.12,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,2,0.09762583726358683,2,,10243.19,3709.15,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,2,0.010776406695553903,1,,92795.31,3139.61,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,0,0.027526188415658657,1,,36329.04,6241.2,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,0,0.03339154592840184,1,,29947.700000000004,6318.87,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,0,0.033855280187991596,1,,29537.49,6361.7,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,4,base_hash_join,query,2,0,0.005605495223921877,1,,178396.37,5045.38,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,1,0.02886211126343892,1,,34647.5,6241.2,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,1,0.033403212854625206,1,,29937.24,6318.87,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,1,0.03508984931366009,1,,28498.27,6361.7,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,4,base_hash_join,query,2,1,0.008286877787032378,1,,120672.71,5045.38,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
