binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,latency_p50_ms,latency_p99_ms,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,4,base_hash_join,query,2,2,0.007091,,,141023.8330277817,1221.33,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,1,base_merge_join,query,2,3,0.1637,,,6108.735491753207,1494.36,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,2,pipeline_view,query,2,3,0.2165,,,4618.937644341801,1450.69,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,3,mi_col_walk,query,2,3,0.2246,,,4452.359750667854,1527.84,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c1,1500,0.4,4,base_hash_join,query,2,3,0.00806,,,124069.4789081886,1221.33,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,1,base_merge_join,query,2,1,0.06588,,,15179.11353976928,3824.1,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,2,pipeline_view,query,2,1,0.08502,,,11761.938367442955,3711.4,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,3,mi_col_walk,query,2,1,0.09797,,,10207.206287639074,3909.37,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,4,base_hash_join,query,2,1,0.001347,,,742390.4974016332,3121.19,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,1,base_merge_join,query,2,2,0.06765,,,14781.966001478197,3824.1,,,,,,,,,,,,,,,,,,,,,,,,,
