binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha
q3i_btree,tpchi,btree,q3i,c1,620,0.4,2,pipeline_view,query,2,3,0.003232,,,309405.9405940594,2525.03,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,3,mi_coli_walk,query,2,3,0.002971,,,336587.00774150115,2544.34,4285645c
q3i_btree,tpchi,btree,q3i,c1,620,0.4,4,base_hash_join,query,2,3,0.0007456,,,1341201.7167381975,2018.69,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,1,base_merge_join,query,2,1,0.0006592,,,1516990.291262136,6241.15,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,2,pipeline_view,query,2,1,0.001261,,,793021.4115781126,6315.7,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,3,mi_coli_walk,query,2,1,0.001165,,,858369.0987124463,6362.41,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,4,base_hash_join,query,2,1,0.0002543,,,3932363.3503735745,5047.73,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,1,base_merge_join,query,2,2,0.0006813,,,1467782.1811243212,6241.15,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,2,pipeline_view,query,2,2,0.001264,,,791139.2405063291,6315.7,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,3,mi_coli_walk,query,2,2,0.001175,,,851063.829787234,6362.41,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,4,base_hash_join,query,2,2,0.0002591,,,3859513.701273639,5047.73,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,1,base_merge_join,query,2,3,0.0006757,,,1479946.7219180109,6241.15,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,2,pipeline_view,query,2,3,0.001266,,,789889.4154818326,6315.7,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,3,mi_coli_walk,query,2,3,0.001172,,,853242.3208191126,6362.41,4285645c
q3i_btree,tpchi,btree,q3i,c3,1550,0.4,4,base_hash_join,query,2,3,0.0002586,,,3866976.0247486467,5047.73,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,1,0.04162,,,24026.91013935608,5132.67,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,1,0.08772,,,11399.908800729594,4858.94,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,1,0.05427,,,18426.386585590568,5239.35,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,1,0.003527,,,283527.0768358378,4202.31,4285645c
